Categoria,Número de Artigos,RQs,Artigos,Citações,Número de Citações
 Desafios de Eficácia,1,2,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,"Few outcomes defining the next improvement steps, no clear path for improvement.",1
 Desafios de Implementação,1,2,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,"Few arrangements by facilitator, participants’ time not being valued, lack of structure.",1
 Desafios de Participação,1,2,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,"Reluctance of team members to reflect or to share perceptions of (known) problems. | Unchanging Retro procedures, leading to fatigue, frustration and low motivation.",2
 Padrões Negativos,1,2,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,"Recurring headaches, while not fatal to the executed development process as a whole, can negatively influence the effectiveness of Retros and the quality of Retro outcomes and process improvement efforts in general.",1
Definição e Propósito,4,1,"Counteracting Agile Retrospective Problems with Retrospective Activities, Game-based Sprint retrospectives: multiple action research, Learning in the large - an exploratory study of retrospectives in large-scale agile development, Towards Empirically Validated Remedies for Scrum Retrospective Headaches","One of the core principles of all agile methods is the need for continuous process improvement: ""At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behavior accordingly"" (Highsmith and Fowler 2001). An agile practice that provides time and space for the team to come together in order to inspect, fix, and improve their process is a retrospective meeting | Accordingly, the retrospective is an opportunity for the team to look back over an iteration and recognize successes and failures; to link the related experience to people, the development process, engineering practices, and tools; and to create a plan for improvements to be enacted during the next iteration (Dybå et al. 2014b; Lehtinen et al. 2015, Lehtinen et al. 2017; Dingsøyr et al. 2018; Ilyés 2019).  | Indeed, the retrospective is one of the most frequently mentioned agile practices in the context of software process improvement (Mas et al. 2018; Küpper et al. 2019). | Schwaber et al. define a retrospective as an ""opportunity for the team to inspect itself"". During these meetings the project team discusses a finished project or iteration, focusing on successes as well as encountered challenges and defines steps to improve their process in the future. | Retrospectives provide time and space to discuss and improve a team's development process, leading to increased performance and enjoyment during the following iteration | these meetings allow implementing the principles """"motivate all people involved"""" and """"create a learning organization"""" of the Software Process Improvement (SPI) manifesto | Many see retrospectives as the most important practice of agile software development. | The Agile Practice Guide describes them as ""the single most important practice in agile development""  and in his much read book on Scrum and XP, Kniberg states that retrospectives are the ""number-one-most-important thing in Scrum | The purpose of retrospectives is to explore the work results of a team in an iteration or a phase in order to ""learn about, improve, and adapt its process"" | any previous studies have seen retrospectives as an arena for reflection to enable learning and process improvement | ""The Scrum Guide defines the purpose of Retros as inspecting 'how the last Sprint went with regards to people, relationships, process, and tools'. Thus, Retros not only represent opportunities for teams to improve their ways of collaboration and teamwork, but also empowerment and enjoyment in future development iterations | the Retro deals with how it was built and how the next Sprint can be improved, i.e. the process and the human factors involved. | Retros have their own set of requirements for participants and face their own set of challenges. In particular, the literature concerning Agile practitioners has highlighted problems which repeatedly appear in these meetings",13
Desafios de Comunicação,1,2,Remote working and collaboration in agile teams,Poor communications for remote workers with large group sessions,1
Desafios de Eficácia,4,2,"Counteracting Agile Retrospective Problems with Retrospective Activities, Game-based Sprint retrospectives: multiple action research, Reflection in Agile Retrospectives, Scaling scrum in a large globally distributed organization: A case study","Therefore, our interviewees felt that no real improvements followed from the common retrospectives. Huge problems remained, and common retrospectives were considered useless.  | People actually maybe don't see what's the value of being there, because we discuss, then we decide something, and if you don't see the results, then maybe you are not so inclined to come again. [...] then we say this needs to change, but in the end nothing happens. [...] One thing that will bring more people is that they see that actually there are decisions made there and this affects their work. [...] whoever is there, gets the right to decide, so if they see that actually this affects their daily work. 
— Team member | You could make 200 action points of your 20 weeks, but not a single one of those was followed up on, you really haven't done anything. | Based on the observation of their retrospective meeting, it was seen that they did not discuss their feelings explicitly and only discussed briefly the obstacles related to changing of task priorities needing confirmation with the product manager. They did not discuss it further as once they agreed on that obstacle then the product manager directly proceeded to the Scrum Board, discussed the issue and wrapped up the meeting. They did not record any outcomes, such as a plan or action points, from the meeting. There was little evidence of analyzing previous action points, identifying background reasons and identifying future action points. | he received feedback indicates that the approach helped the teams to mitigate many of the ""accidental difficulties"" pertaining to the Sprint Retrospective, such as lack of structure, dullness, too many complaints, or unequal participation and made the meetings more productive to some degree. | the same ideas come up every time; | there is not enough to talk about based on a single Sprint; | wasting time on long, ineffectual debates on one issue while neglecting other issues due to a lack of time; | it is hard to prioritize issues and focus on the most important ones, because team members want to discuss and explore potential solutions for all of the problems in one meet-ing. | Kua and Rubin collected agile retrospective smells, such as All Talk, No Action or the Blame Game | – All Talk–No Action - failing to decide on action items defining the next
steps and therefore having no clear path for improvement. | During the retrospectives we observed the problems: No Preparation, Not Speaking Up, All Talk–No Action, and Too Repetitive.",13
Desafios de Foco,2,2,"Game-based Sprint retrospectives: multiple action research, Reflection in Agile Retrospectives",Understanding this is particularly important as agile teams are reported to focus more on their technical progress and tend to pay less attention to how reflection is performed thereby compromising their potential for improvement | there is no good discussion on how to improve the teamwork;,2
Desafios de Implementação,5,"1, 2","Counteracting Agile Retrospective Problems with Retrospective Activities, Game-based Sprint retrospectives: multiple action research, Learning in the large - an exploratory study of retrospectives in large-scale agile development, Reflection in Agile Retrospectives, Scaling scrum in a large globally distributed organization: A case study","The problems were often very big, such as ""communication between the APO's and the teams is not working"", thus they could not be solved during one iteration, and the implementation of the solution was not followed up.  | Besides, the duration of the meeting was also short, around 15 min, and they reported performing retrospective meetings only when it was necessary.  | Nevertheless, running an effective and enjoyable retrospective meeting is still a challenge in real environments. As reported by several studies, the Sprint Retrospective is an agile practice most likely to be implemented improperly or sacrificed when teams perform under pressure to deliver. | retrospectives are too short to come up with solutions to complex problems, so additional meetings should be planned; | Lamoreux (2005) reported that in their organization, the retrospective was one of the most challenging agile practices to implement and they encountered many roadblocks to effective reflection.  | As a side effect of our project, we found out that the main causes of reducing the frequency of retrospective meetings were not the retrospective itself, but organizational dysfunctions. Issues such as difficulties in communication between developers and the Product Owner or between different teams, forcing teams to overload the Sprint Backlog, and assigning people to multiple Scrum teams were raised during retrospectives before our project started, but nothing was done since the solution would either violate the corporate governance or required corrective actions at the organizational level. This impossibility caused frustration, which in turn caused teams to skip retrospective meetings | – No Preparation – not thoroughly preparing a meeting, leaving participants
feeling lost and their time not being valued. | The problem which was most often addressed by the use of activities was No Preparation. | In a study of retrospective practices at team level, Lethinen et al. found that most discussions were related to topics close to and controllable by the team, but that topics that could not be resolved at the team level due to their complexity nevertheless recurred over time.",11
Desafios de Participação,4,"1, 2","Counteracting Agile Retrospective Problems with Retrospective Activities, Game-based Sprint retrospectives: multiple action research, Reflection in Agile Retrospectives, Scaling scrum in a large globally distributed organization: A case study","Since participation was voluntary, the team members voted with their feet, and finally the meeting had only very few participants. | People actually maybe don't see what's the value of being there, because we discuss, then we decide something, and if you don't see the results, then maybe you are not so inclined to come again. [...] then we say this needs to change, but in the end nothing happens. [...] One thing that will bring more people is that they see that actually there are decisions made there and this affects their work. [...] whoever is there, gets the right to decide, so if they see that actually this affects their daily work. 
— Team member | The more time pressure experienced in the project, the less people participated in the common retros. However, some of the interviewees commented that those persons who actively wanted to change things came, which was seen as positive. | All the time the number of participants went down. You could notice that the more time pressure we had [in the project], the less people came. [...] So, now no more than ten people show up in the common retros. [...] But I have been going there, as there's always something.... [...] There has started to be people that are really exited about changing things. So it's kind of motivating that here are people who are still interested in things. 
— Team member | Another interesting observation was that they had adapted the retrospective practice, which seemed too repetitive for them and people often seemed to have forgotten about what happened during the last two weeks' sprint. As result, they were used to placing all the individual reviews written up on sticky notes in a ""retro box"" – a box especially allocated to collect individual reflec‐ tion. If there were no sticky notes during a two weeks' sprint, they would not perform a retrospective meeting. | he received feedback indicates that the approach helped the teams to mitigate many of the ""accidental difficulties"" pertaining to the Sprint Retrospective, such as lack of structure, dullness, too many complaints, or unequal participation and made the meetings more productive to some degree. | a few vocal participants dominate the discussion, while others only listen even though they have profound views on things; | participants use the meeting primarily to complain rather than to improve. | Their initial reluctance to have regular retrospectives was overcome after they adopted the Conversation Café technique, which can be considered to be a retrospective game. | difficulties in writing down ideas expressed in long unstructured oral statements; | – Too Repetitive – repetitive retrospectives lead to fatigue and boredom, thus
negatively aﬀecting outcomes and team motivation. | – Blame Game – when a team is pointing fingers and assigning blame to team
members instead of constructively searching for solutions. | – Not Speaking Up – team members are reluctant to openly address their
feelings and perceptions or known problem in the group. | – Taking It Personally – team members feel hurt by the statements of others,
leading to a charged and adversarial atmosphere. | – Group Think – the team values harmony and consensus higher than a
critical discussion, which leads to fewer improvement possibilities. | – Focus on Negatives – a team losing its perception of positives from the
past sprint due to a focus on negatives leading to negative team spirit. | – Complain Game – Participants viewing the meeting as a chance to complain
and unload regarding the past instead of a chance to improve.",20
Desafios e problemas,4,"1, 2","Game-based Sprint retrospectives: multiple action research, Learning in the large - an exploratory study of retrospectives in large-scale agile development, Scaling scrum in a large globally distributed organization: A case study, Towards Empirically Validated Remedies for Scrum Retrospective Headaches","The problems were often very big, such as ""communication between the APO's and the teams is not working"", thus they could not be solved during one iteration, and the implementation of the solution was not followed up.  | All the time the number of participants went down. You could notice that the more time pressure we had [in the project], the less people came. [...] So, now no more than ten people show up in the common retros. [...] But I have been going there, as there's always something.... [...] There has started to be people that are really exited about changing things. So it's kind of motivating that here are people who are still interested in things. 
— Team member | Nevertheless, running an effective and enjoyable retrospective meeting is still a challenge in real environments. As reported by several studies, the Sprint Retrospective is an agile practice most likely to be implemented improperly or sacrificed when teams perform under pressure to deliver. | retrospectives are too short to come up with solutions to complex problems, so additional meetings should be planned; | In a study of retrospective practices at team level, Lethinen et al. found that most discussions were related to topics close to and controllable by the team, but that topics that could not be resolved at the team level due to their complexity nevertheless recurred over time. | A finding is that agile teams may not achieve all levels of reflection simply by performing retrospective meetings | A common critique of retrospectives is that teams meet and talk, but little of what is talked about is acted upon. | Given the short time spent on retrospectives, they do not seem to facili-tate «deep» learning («double loop» learning in Argyris and Schön's framework). | Having minutes public could also lead to critique being toned down or removed completely | A challenge in the project studied is that the contract model used may hinder changes, for example the contract model specifies handover phases between companies involved in the analysis of needs phase and the solution description and development phase. | However, Retrospectives face their own challenges. Agile practitioners have highlighted common problems, i.e. headaches, that repeatedly appear in meetings and negatively impact the quality of process improvement efforts.",11
