codigos,artigo,rqs,referenciaDentroDoArtigo,pagina,categoria_rq2,subcategoria,categoria_rq1
Cada time com a sua retrospectiva,Scaling scrum in a large globally distributed organization: A case study,1,"In the beginning, each team had their team specific retrospective first, after which everybody gathered for a common retrospective. ",,,Formato Hierárquico,Estrutura e Organizacao
3 principais problemas de cada eram selecionados,Scaling scrum in a large globally distributed organization: A case study,1,Each team was advised to bring three issues that are too big for their own team to solve to the common demo.,,,Seleção de Problemas,Estrutura e Organizacao
Escolha para os 3 principais problemas entre times,Scaling scrum in a large globally distributed organization: A case study,1,Three of all those issues brought by the teams were then chosen for discussion and solutions were drafted together.,,,Priorização,Estrutura e Organizacao
problemas eram grandes,Scaling scrum in a large globally distributed organization: A case study,2,"The problems were often very big, such as ""communication between the APO's and the teams is not working"", thus they could not be solved during one iteration, and the implementation of the solution was not followed up. ",,Desafios de Implementação,Complexidade dos Problemas,
Problemas não resolvíveis em uma iteração,Scaling scrum in a large globally distributed organization: A case study,"1, 2","The problems were often very big, such as ""communication between the APO's and the teams is not working"", thus they could not be solved during one iteration, and the implementation of the solution was not followed up. ",,Desafios de Implementação,Complexidade dos Problemas,Desafios e problemas
Reuniões pouco efetivas,Scaling scrum in a large globally distributed organization: A case study,2,"Therefore, our interviewees felt that no real improvements followed from the common retrospectives. Huge problems remained, and common retrospectives were considered useless. ",,Desafios de Eficácia,Falta de Resultados,
Grandes problemas continuavam,Scaling scrum in a large globally distributed organization: A case study,2,"Therefore, our interviewees felt that no real improvements followed from the common retrospectives. Huge problems remained, and common retrospectives were considered useless. ",,Desafios de Eficácia,Falta de Resultados,
Baixa participação,Scaling scrum in a large globally distributed organization: A case study,2,"Since participation was voluntary, the team members voted with their feet, and finally the meeting had only very few participants.",,Desafios de Participação,Engajamento,
"Se você não vê resultado, não quer voltar na reunião",Scaling scrum in a large globally distributed organization: A case study,2,"People actually maybe don't see what's the value of being there, because we discuss, then we decide something, and if you don't see the results, then maybe you are not so inclined to come again. [...] then we say this needs to change, but in the end nothing happens. [...] One thing that will bring more people is that they see that actually there are decisions made there and this affects their work. [...] whoever is there, gets the right to decide, so if they see that actually this affects their daily work. 
— Team member",,Desafios de Participação,Percepção de Valor,
"Diziamos que precisava mudar, mas no final não via mudança",Scaling scrum in a large globally distributed organization: A case study,2,"People actually maybe don't see what's the value of being there, because we discuss, then we decide something, and if you don't see the results, then maybe you are not so inclined to come again. [...] then we say this needs to change, but in the end nothing happens. [...] One thing that will bring more people is that they see that actually there are decisions made there and this affects their work. [...] whoever is there, gets the right to decide, so if they see that actually this affects their daily work. 
— Team member",,Desafios de Eficácia,Falta de Implementação,
